"_id","timestamp","device_id","double_latitude","double_longitude","double_bearing","double_speed","double_altitude","provider","accuracy","label"
186866,1611964680000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.69083866382091,-154.56979538305495,-1.0,0.0,192.67999267578125,"gps",93.98523556784365,""
192800,1611237517000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.04693741156017,23.326438634382697,-1.0,0.0,737.9000244140625,"gps",65.0,""
192814,1611330688000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.1179382764228,23.39477550128766,-1.0,0.0,809.5671997070312,"gps",1000.0,""
198286,1611468296000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.00612160259637,23.41631259261468,-1.0,0.0,798.21337890625,"gps",1414.0,""
198312,1611387294000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.13049690398756,23.41648560725614,-1.0,0.0,785.6819458007812,"gps",1842.1996895184616,""
203415,1611332046000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.1312329774259,23.41156968958219,-1.0,0.0,790.1195678710938,"gps",65.0,""
203427,1612048692000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.66611744229725,-154.50319068678357,-1.0,0.0,192.67999267578125,"gps",1414.0,""
203477,1611866532000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.68605007323471,-154.58642864506731,-1.0,0.0,192.67999267578125,"gps",65.0,""
203501,1611241299000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.08062341480904,23.376032942681988,-1.0,0.0,737.9000244140625,"gps",165.0,""
216643,1611240689000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.05134519470845,23.352571427467776,-1.0,0.0,737.9000244140625,"gps",65.0,""
216683,1612028996000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.02022938061512,-155.69953631932268,-1.0,0.0,371.3764343261719,"gps",65.0,""
226764,1611385957000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.04282226458076,23.27286904804232,-1.0,0.0,749.3959350585938,"gps",65.0,""
226782,1611863216000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.70450052148318,-154.59561188633376,-1.0,0.0,198.728515625,"gps",165.0,""
229498,1612048200000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.68925645405263,-154.57551003521527,-1.0,0.0,192.67999267578125,"gps",65.0,""
229508,1611945620000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.67082722727179,-154.48461935532794,-1.0,0.0,234.87063598632807,"gps",3682.0,""
236718,1611965235000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.6691496431121,-154.59177958777462,-1.0,0.0,215.2590789794922,"gps",65.0,""
236722,1611534420000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.66854095519614,-154.59232788026475,-1.0,0.0,246.7728729248047,"gps",65.0,""
236743,1611945941000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.66858687235111,-154.59169843204805,-1.0,0.0,239.637939453125,"gps",1000.0,""
236844,1611473354000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",99.73525942828049,21.480172844752563,-1.0,0.0,598.3239135742188,"gps",4000.0,""
250161,1611848969000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.6760675367696,-154.58419837817092,-1.0,3.5199999809265137,207.59832814874483,"gps",5.0,""
274696,1611764333000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.68159020875959,-154.5950544495937,-1.0,0.0,192.67999267578125,"gps",55.88670521787697,""
274925,1611764640000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.67537606500709,-154.54422262227564,-1.0,0.0,192.67999267578125,"gps",200.5677478332,""
286550,1611472227000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",99.48283759524396,22.34404311329701,-1.0,0.0,622.8557739257812,"gps",65.0,""
286570,1611479229000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",100.71234370800936,17.826706103537703,-1.0,0.0,334.0931701660156,"gps",2000.0,""
286596,1611394140000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.11620073602926,23.45676931870929,-1.0,0.0,791.1400146484375,"gps",65.0,""
286695,1611941650000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.72733487396457,-154.58101906571807,-1.0,27.059777777777786,194.2,"gps",5.0,""
286698,1612026226000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.43672605486141,-154.70196617837416,-1.0,0.0,192.01275634765625,"gps",2342.319389811536,""
309113,1611962304000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.68870764030376,-154.56134502939017,-1.0,0.0,169.4095916748047,"gps",65.0,""
309156,1611780287000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.66735471604818,-154.58574422453034,-1.0,0.0,194.23501586914065,"gps",65.0,""
319572,1611593774000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.60244918690636,-154.54264436126454,-1.0,0.0,224.72390747070312,"gps",2665.0,""
319602,1611331228000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.12721633749914,23.38927045433796,-1.0,0.0,790.7122192382812,"gps",165.0,""
319609,1611942251000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.66901818856427,-154.59172130390544,-1.0,0.0,261.8445862316254,"gps",5.0,""
319756,1612026593000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.37097482639376,-154.74631279903303,-1.0,0.0,192.01275634765625,"gps",3000.0,""
329911,1611480445000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",100.60626555596238,17.651476354074735,-1.0,0.0,219.3280792236328,"gps",2000.0,""
329979,1611781180000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.66716439456668,-154.58602046084604,-1.0,0.0,229.1810760498047,"gps",65.0,""
349006,1611700501000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.66868046077495,-154.59159547863533,-1.0,0.0,192.67999267578125,"gps",36.7976017175336,""
349127,1611495681000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",100.57178524042502,17.572818123794786,-1.0,0.0,205.1348419189453,"gps",3605.908098406902,""
366870,1612045038000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.14423990975753,-154.77062415561778,-1.0,0.0,234.90293884277344,"gps",117.61865621058182,""
366916,1611863520000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.718893568728,-154.6129638188933,-1.0,0.0,212.9199981689453,"gps",65.0,""
375418,1611468600000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",97.99104905729288,23.36776926633579,-1.0,0.0,729.47998046875,"gps",65.0,""
383369,1611607717000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.68679416797004,-154.5803804872172,-1.0,0.0,192.67999267578125,"gps",71.20439368124045,""
390921,1612025578000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.674420210413,-154.64360393242703,-1.0,0.0,231.22232055664065,"gps",65.0,""
390941,1611594202000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.66844785915892,-154.59161420905394,-1.0,0.0,192.67999267578125,"gps",65.0,""
405090,1611395477000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.11484582575255,23.428030949733056,-1.0,0.0,791.1400146484375,"gps",165.0,""
405114,1611682105000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.67511305768873,-154.5932588581688,-1.0,0.0,192.67999267578125,"gps",65.0,""
405198,1611495255000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",100.57460340880093,17.674308853352485,-1.0,0.0,205.1348419189453,"gps",2000.0,""
417872,1611937034000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.71407243333333,-154.58184586666667,-1.0,34.36488888888889,215.2,"gps",5.0,""
423723,1611681406000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.6894004076721,-154.57675864081625,-1.0,0.0,166.30728149414062,"gps",65.0,""
423734,1611474625000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",100.09199351743392,20.426363303803583,-1.0,0.0,391.2706604003906,"gps",65.0,""
429271,1611849799000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.6669823485456,-154.58576628277496,-1.0,0.0,195.39938354492188,"gps",65.0,""
447677,1611472554000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",99.56374637251456,22.06598989865004,-1.0,0.0,622.9246826171875,"gps",5000.0,""
451312,1611767961000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.66893410187296,-154.59254502648162,-1.0,0.0,240.12857055664065,"gps",65.0,""
457663,1611240994000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.05904825684598,23.37604598295309,-1.0,0.0,737.9000244140625,"gps",65.0,""
460262,1612032679000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",77.99196912169222,-156.02545321747337,-1.0,0.0,1143.8776168823242,"gps",10.0,""
460273,1612027525000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.19715298071029,-155.07872887509598,-1.0,0.0,242.66619873046875,"gps",2439.556140030332,""
467518,1612044733000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.09208261404825,-154.8284563817948,-1.0,0.0,309.47235107421875,"gps",165.0,""
467530,1611471205000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",99.2861813244182,22.87472552323321,-1.0,0.0,730.2409057617188,"gps",2084.1493740449764,""
480445,1611679588000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.69029727368542,-154.57593333851798,-1.0,0.0,192.67999267578125,"gps",65.0,""
480573,1611469932000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.00884651720304,23.36956839939041,-1.0,0.0,729.6829833984375,"gps",165.0,""
480657,1611605477000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.69009196829994,-154.56787903952747,-1.0,0.0,186.212142944336,"gps",1264.0471992089217,""
505226,1612030531000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",77.96176501743258,-156.0164113232461,-1.0,3.5999999046325684,729.4196090698242,"gps",10.0,""
505311,1611479824000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",100.67374865079802,17.835911059770034,-1.0,0.0,199.10406494140625,"gps",2000.0,""
505362,1611585736000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.69084077904773,-154.57162828380527,-1.0,0.0,192.67999267578125,"gps",69.48958286650954,""
517011,1611470291000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.14442185296964,23.37017263890871,-1.0,0.0,730.2409057617188,"gps",2584.520861477548,""
517147,1611331742000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",98.13709988930576,23.39620709268825,-1.0,0.0,789.8009033203125,"gps",156.18791374854823,""
517169,1611474926000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",100.1042899128972,20.37149545536173,-1.0,0.0,368.1222839355469,"gps",65.0,""
517180,1611866847000,"OVrZXy4swCPY6GHC0QKKVKN3Yym2",78.67150343279636,-154.5945151323457,-1.0,0.0,192.67999267578125,"gps",65.0,""
